,corpus,Sentiment
252,greek dress creami flavor,1
253,overal think would take parent place made similar complaint silent felt,0
254,pizza good peanut sauc tasti,1
255,tabl servic pretti fast,1
256,fantast servic,1
257,well would given godfath zero star possibl,0
258,know make,1
259,tough short flavor,0
260,hope place stick around,1
261,bar vega ever recal charg tap water,0
262,restaur atmospher exquisit,1
263,good servic clean inexpens boot,1
264,seafood fresh gener portion,1
265,plu buck,1
266,servic par either,0
267,thu far visit twice food absolut delici time,1
268,good year ago,1
269,self proclaim coffe cafe wildli disappoint,0
270,veggitarian platter world,1
271,cant go wrong food,1
272,beat,1
273,stop place madison ironman friendli kind staff,1
274,chef friendli good job,1
275,better dedic boba tea spot even jenni pho,0
276,like patio servic outstand,1
277,goat taco skimp meat wow flavor,1
278,think,0
279,mac salad pretti bland get,0
280,went bachi burger friend recommend disappoint,1
281,servic stink,0
282,wait wait,0
283,place qualiti sushi qualiti restaur,0
284,would definit recommend wing well pizza,1
285,great pizza salad,1
286,thing went wrong burn saganaki,0
287,wait hour breakfast could done time better home,0
288,place amaz,1
289,hate disagre fellow yelper husband disappoint place,0
290,wait hour never got either pizza mani around us came later,0
291,know slow,0
292,staff great food delish incred beer select,1
293,live neighborhood disappoint back conveni locat,0
294,know pull pork could soooo delici,1
295,get incred fresh fish prepar care,1
296,go gave star rate pleas know third time eat bachi burger write review,0
297,love fact everyth menu worth,1
298,never dine place,0
299,food excel servic good,1
300,good beer drink select good food select,1
301,pleas stay away shrimp stir fri noodl,0
302,potato chip order sad could probabl count mani chip box probabl around,0
303,food realli bore,0
304,good servic check,1
305,greedi corpor never see anoth dime,0
306,never ever go back,0
307,much like go back get pass atroci servic never return,0
308,summer dine charm outdoor patio delight,1
309,expect good,1
310,fantast food,1
311,order toast english muffin came untoast,0
312,food good,1
313,never go back,0
314,great food price high qualiti hous made,1
315,bu boy hand rude,0
316,point friend basic figur place joke mind make publicli loudli known,0
317,back good bbq lighter fare reason price tell public back old way,1
318,consid two us left full happi go wrong,1
319,bread made hous,1
320,downsid servic,0
321,also fri without doubt worst fri ever,0
322,servic except food good review,1
323,coupl month later return amaz meal,1
324,favorit place town shawarrrrrrma,1
325,black eye pea sweet potato unreal,1
326,disappoint,1
327,could serv vinaigrett may make better overal dish still good,1
328,go far mani place never seen restaur serv egg breakfast especi,0
329,mom got home immedi got sick bite salad,0
330,server pleasant deal alway honor pizza hut coupon,0
331,truli unbeliev good glad went back,1
332,fantast servic pleas atmospher,1
333,everyth gross,0
334,love place,1
335,great servic food,1
336,first bathroom locat dirti seat cover replenish plain yucki,0
337,burger got gold standard burger kind disappoint,0
338,omg food delicioso,1
339,noth authent place,0
340,spaghetti noth special whatsoev,0
341,dish salmon best great,1
342,veget fresh sauc feel like authent thai,1
343,worth drive tucson,1
344,select probabl worst seen vega none,0
345,pretti good beer select,1
346,place like chipotl better,1
347,classi warm atmospher fun fresh appet succul steak basebal steak,1
348,star brick oven bread app,1
349,eaten multipl time time food delici,1
350,sat anoth ten minut final gave left,0
351,terribl,0
352,everyon treat equal special,1
353,take min pancak egg,0
354,delici,1
355,good side staff genuin pleasant enthusiast real treat,1
356,sadli gordon ramsey steak place shall sharpli avoid next trip vega,0
357,alway even wonder food delici,1
358,best fish ever life,1
359,bathroom next door nice,1
360,buffet small food offer bland,0
361,outstand littl restaur best food ever tast,1
362,pretti cool would say,1
363,definit turn doubt back unless someon els buy,0
364,server great job handl larg rowdi tabl,1
365,find wast food despic food,0
366,wife lobster bisqu soup lukewarm,0
367,would come back sushi crave vega,1
368,staff great ambianc great,1
369,deserv star,1
370,left stomach ach felt sick rest day,0
371,drop ball,0
372,dine space tini elegantli decor comfort,1
373,custom order way like usual eggplant green bean stir fri love,1
374,bean rice mediocr best,0
375,best taco town far,1
376,took back money got outta,0
377,interest part town place amaz,1
378,rude inconsider manag,0
379,staff friendli wait time serv horribl one even say hi first minut,0
380,back,0
381,great dinner,1
382,servic outshin definit recommend halibut,1
383,food terribl,0
384,never ever go back told mani peopl happen,0
385,recommend unless car break front starv,0
386,come back everi time vega,1
387,place deserv one star food,0
388,disgrac,0
389,def come back bowl next time,1
390,want healthi authent ethic food tri place,1
391,continu come ladi night andddd date night highli recommend place anyon area,1
392,sever time past experi alway great,1
393,walk away stuf happi first vega buffet experi,1
394,servic excel price pretti reason consid vega locat insid crystal shop mall aria,1
395,summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens,1
396,probabl one peopl ever go ian like,0
397,kid pizza alway hit lot great side dish option kiddo,1
398,servic perfect famili atmospher nice see,1
399,cook perfect servic impecc,1
400,one simpli disappoint,0
401,overal disappoint qualiti food bouchon,0
402,account know get screw,0
403,great place eat remind littl mom pop shop san francisco bay area,1
404,today first tast buldogi gourmet hot dog tell ever thought possibl,1
405,left frustrat,0
406,definit soon,1
407,food realli good got full petti fast,1
408,servic fantast,1
409,total wast time,0
410,know kind best ice tea,1
411,come hungri leav happi stuf,1
412,servic give star,0
413,assur disappoint,1
414,take littl bad servic food suck,0
415,gave tri eat crust teeth still sore,0
416,complet gross,0
417,realli enjoy eat,1
418,first time go think quickli becom regular,1
419,server nice even though look littl overwhelm need stay profession friendli end,1
420,dinner companion told everyth fresh nice textur tast,1
421,ground right next tabl larg smear step track everywher pile green bird poop,0
422,furthermor even find hour oper websit,0
423,tri like place time think done,0
424,mistak,0
425,complaint,1
426,serious good pizza expert connisseur topic,1
427,waiter jerk,0
428,strike want rush,0
429,nicest restaur owner ever come across,1
430,never come,0
431,love biscuit,1
432,servic quick friendli,1
433,order appet took minut pizza anoth minut,0
434,absolutley fantast,1
435,huge awkward lb piec cow th gristl fat,0
436,definit come back,1
437,like steiner dark feel like bar,1
438,wow spici delici,1
439,familiar check,1
440,take busi dinner dollar elsewher,0
441,love go back,1
442,anyway fs restaur wonder breakfast lunch,1
443,noth special,0
444,day week differ deal delici,1
445,mention combin pear almond bacon big winner,1
446,back,0
447,sauc tasteless,0
448,food delici spici enough sure ask spicier prefer way,1
449,ribey steak cook perfectli great mesquit flavor,1
450,think go back anytim soon,0
451,food gooodd,1
452,far sushi connoisseur definit tell differ good food bad food certainli bad food,0
453,insult,0
454,last time lunch bad,0
455,chicken wing contain driest chicken meat ever eaten,0
456,food good enjoy everi mouth enjoy relax venu coupl small famili group etc,1
457,nargil think great,1
458,best tater tot southwest,1
459,love place,1
460,definit worth paid,0
461,vanilla ice cream creami smooth profiterol choux pastri fresh enough,1
462,im az time new spot,1
463,manag worst,0
464,insid realli quit nice clean,1
465,food outstand price reason,1
466,think run back carli anytim soon food,0
467,due fact took minut acknowledg anoth minut get food kept forget thing,0
468,love margarita,1
469,first vega buffet disappoint,1
470,good though,1
471,one note ventil could use upgrad,0
472,great pork sandwich,1
473,wast time,0
474,total letdown would much rather go camelback flower shop cartel coffe,0
475,third chees friend burger cold,0
476,enjoy pizza brunch,1
477,steak well trim also perfectli cook,1
478,group claim would handl us beauti,1
479,love,1
480,ask bill leav without eat bring either,0
481,place jewel la vega exactli hope find nearli ten year live,1
482,seafood limit boil shrimp crab leg crab leg definit tast fresh,0
483,select food best,0
484,delici absolut back,1
485,small famili restaur fine dine establish,1
486,toro tartar cavier extraordinari like thinli slice wagyu white truffl,1
487,dont think back long time,0
488,attach ga station rare good sign,0
489,awesom,1
490,back mani time soon,1
491,menu much good stuff could decid,1
492,wors humili worker right front bunch horribl name call,0
493,conclus fill meal,1
494,daili special alway hit group,1
495,tragedi struck,0
496,pancak also realli good pretti larg,1
497,first crawfish experi delici,1
498,monster chicken fri steak egg time favorit,1
499,waitress sweet funni,1
500,also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici,1
501,rather eat airlin food serious,0
502,cant say enough good thing place,1
503,ambianc incred,1
504,waitress manag friendli,1
505,would recommend place,0
506,overal impress noca,0
507,gyro basic lettuc,0
508,terribl servic,0
509,thoroughli disappoint,0
510,much pasta love homemad hand made pasta thin pizza,1
511,give tri happi,1
512,far best cheesecurd ever,1
513,reason price also,1
514,everyth perfect night,1
515,food good typic bar food,1
516,drive get,0
517,first glanc love bakeri cafe nice ambianc clean friendli staff,1
518,anyway think go back,0
519,point finger item menu order disappoint,1
520,oh thing beauti restaur,1
521,gone go,1
522,greasi unhealthi meal,0
523,first time might last,0
524,burger amaz,1
525,similarli deliveri man say word apolog food minut late,0
526,way expens,0
527,sure order dessert even need pack go tiramisu cannoli die,1
528,first time wait next,1
529,bartend also nice,1
530,everyth good tasti,1
531,place two thumb way,1
532,best place vega breakfast check sat sun,1
533,love authent mexican food want whole bunch interest yet delici meat choos need tri place,1
534,terribl manag,0
535,excel new restaur experienc frenchman,1
536,zero star would give zero star,0
537,great steak great side great wine amaz dessert,1
538,worst martini ever,0
539,steak shrimp opinion best entre gc,1
540,opportun today sampl amaz pizza,1
541,wait thirti minut seat although vacant tabl folk wait,0
542,yellowtail carpaccio melt mouth fresh,1
543,tri go back even empti,0
544,go eat potato found stranger hair,0
545,spici enough perfect actual,1
546,last night second time dine happi decid go back,1
547,even hello right,0
548,dessert bit strang,0
549,boyfriend came first time recent trip vega could pleas qualiti food servic,1
550,realli recommend place go wrong donut place,1
551,nice ambianc,1
552,would recommend save room,1
553,guess mayb went night disgrac,0
554,howev recent experi particular locat good,0
555,know like restaur someth,0
556,avoid establish,0
557,think restaur suffer tri hard enough,0
558,tapa dish delici,1
559,heart place,1
560,salad bland vinegrett babi green heart palm,0
561,two felt disgust,0
562,good time,1
563,believ place great stop huge belli hanker sushi,1
564,gener portion great tast,1
565,never go back place never ever recommend place anyon,0
566,server went back forth sever time even much help,0
567,food delici,1
568,hour serious,0
569,consid theft,0
570,eew locat need complet overhaul,0
571,recent wit poor qualiti manag toward guest well,0
572,wait wait wait,0
573,also came back check us regularli excel servic,1
574,server super nice check us mani time,1
575,pizza tast old super chewi good way,0
576,swung give tri deepli disappoint,0
577,servic good compani better,1
578,staff also friendli effici,1
579,servic fan quick serv nice folk,1
580,boy sucker dri,0
581,rate,0
582,look authent thai food go els,0
583,steak recommend,1
584,pull car wait anoth minut acknowledg,0
585,great food great servic clean friendli set,1
586,assur back,1
587,hate thing much cheap qualiti black oliv,0
588,breakfast perpar great beauti present giant slice toast lightli dust powder sugar,1
589,kid play area nasti,0
590,great place fo take eat,1
591,waitress friendli happi accomod vegan veggi option,1
592,omg felt like never eaten thai food dish,1
593,extrem crumbi pretti tasteless,0
594,pale color instead nice char flavor,0
595,crouton also tast homemad extra plu,1
596,got home see driest damn wing ever,0
597,regular stop trip phoenix,1
598,realli enjoy crema caf expand even told friend best breakfast,1
599,good money,0
600,miss wish one philadelphia,1
601,got sit fairli fast end wait minut place order anoth minut food arriv,0
602,also best chees crisp town,1
603,good valu great food great servic,1
604,ask satisfi meal,1
605,food good,1
606,awesom,1
607,want leav,0
608,made drive way north scottsdal one bit disappoint,1
609,eat,0
610,owner realli realli need quit soooooo cheap let wrap freak sandwich two paper one,0
611,check place coupl year ago impress,0
612,chicken got definit reheat ok wedg cold soggi,0
613,sorri get food anytim soon,0
614,absolut must visit,1
615,cow tongu cheek taco amaz,1
616,friend like bloodi mari,0
617,despit hard rate busi actual rare give star,0
618,realli want make experi good one,1
619,return,0
620,chicken pho tast bland,0
621,disappoint,0
622,grill chicken tender yellow saffron season,1
623,drive thru mean want wait around half hour food somehow end go make us wait wait,0
624,pretti awesom place,1
625,ambienc perfect,1
626,best luck rude non custom servic focus new manag,0
627,grandmoth make roast chicken better one,0
628,ask multipl time wine list time ignor went hostess got one,0
629,staff alway super friendli help especi cool bring two small boy babi,1
630,four star food guy blue shirt great vibe still let us eat,1
631,roast beef sandwich tast realli good,1
632,even drastic sick,0
633,high qualiti chicken chicken caesar salad,1
634,order burger rare came done,0
635,promptli greet seat,1
636,tri go lunch madhous,0
637,proven dead wrong sushi bar qualiti great servic fast food impecc,1
638,wait hour seat greatest mood,0
639,good joint,1
640,macaron insan good,1
641,eat,0
642,waiter attent friendli inform,1
643,mayb cold would somewhat edibl,0
644,place lot promis fail deliv,0
645,bad experi,0
646,mistak,0
647,food averag best,0
648,great food,1
649,go back anytim soon,0
650,disappoint order big bay plater,0
651,great place relax awesom burger beer,1
652,perfect sit famili meal get togeth friend,1
653,much flavor poorli construct,0
654,patio seat comfort,1
655,fri rice dri well,0
656,hand favorit italian restaur,1
657,scream legit book somethat also pretti rare vega,1
658,fun experi,1
659,atmospher great love duo violinist play song request,1
660,person love hummu pita baklava falafel baba ganoush amaz eggplant,1
661,conveni sinc stay mgm,1
662,owner super friendli staff courteou,1
663,great,1
664,eclect select,1
665,sweet potato tot good onion ring perfect close,1
666,staff attent,1
667,chef gener time even came around twice take pictur,1
668,owner use work nobu place realli similar half price,1
669,googl mediocr imagin smashburg pop,0
670,dont go,0
671,promis disappoint,1
672,sushi lover avoid place mean,0
673,great doubl cheeseburg,1
674,awesom servic food,1
675,fantast neighborhood gem,1
676,wait go back,1
677,plantain worst ever tast,0
678,great place highli recommend,1
679,servic slow attent,0
680,gave star give star,1
681,staff spend time talk,0
682,dessert panna cotta amaz,1
683,good food great atmospher,1
684,damn good steak,1
685,total brunch fail,0
686,price reason flavor spot sauc home made slaw drench mayo,1
687,decor nice piano music soundtrack pleasant,1
688,steak amaz rge fillet relleno best seafood plate ever,1
689,good food good servic,1
690,absolut amaz,1
691,probabl back honest,0
692,definit back,1
693,sergeant pepper beef sandwich auju sauc excel sandwich well,1
694,hawaiian breez mango magic pineappl delight smoothi tri far good,1
695,went lunch servic slow,0
696,much say place walk expect amaz quickli disappoint,0
697,mortifi,0
698,needless say never back,0
699,anyway food definit fill price pay expect,0
700,chip came drip greas mostli edibl,0
701,realli impress strip steak,0
702,go sinc everi meal awesom,1
703,server nice attent serv staff,1
704,cashier friendli even brought food,1
705,work hospit industri paradis valley refrain recommend cibo longer,0
706,atmospher fun,1
707,would recommend other,0
708,servic quick even go order like like,1
709,mean realli get famou fish chip terribl,0
710,said mouth belli still quit pleas,1
711,thing,0
712,thumb,1
713,read pleas go,0
714,love grill pizza remind legit italian pizza,1
715,pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough,1
716,realli nice atmospher,1
717,tonight elk filet special suck,0
718,one bite hook,1
719,order old classic new dish go time sore disappoint everyth,0
720,cute quaint simpl honest,1
721,chicken delici season perfect fri outsid moist chicken insid,1
722,food great alway compliment chef,1
723,special thank dylan recommend order yummi tummi,1
724,awesom select beer,1
725,great food awesom servic,1
726,one nice thing ad gratuiti bill sinc parti larger expect tip,1
727,fli appl juic fli,0
728,han nan chicken also tasti,1
729,servic thought good,1
730,food bare lukewarm must sit wait server bring us,0
731,ryan bar definit one edinburgh establish revisit,0
732,nicest chines restaur,1
733,overal like food servic,1
734,also serv indian naan bread hummu spici pine nut sauc world,1
735,probabl never come back recommend,0
736,friend pasta also bad bare touch,0
737,tri airport experi tasti food speedi friendli servic,1
738,love decor chines calligraphi wall paper,1
739,never anyth complain,1
740,restaur clean famili restaur feel,1
741,way fri,0
742,sure long stood long enough begin feel awkwardli place,0
743,open sandwich impress good way,0
744,back,0
745,warm feel servic felt like guest special treat,1
746,extens menu provid lot option breakfast,1
747,alway order vegetarian menu dinner wide array option choos,1
748,watch price inflat portion get smaller manag attitud grow rapidli,0
749,wonder lil tapa ambienc made feel warm fuzzi insid,1
750,got enjoy seafood salad fabul vinegrett,1
751,wonton thin thick chewi almost melt mouth,1
752,level spici perfect spice whelm soup,1
753,sat right time server get go fantast,1
754,main thing enjoy crowd older crowd around mid,0
755,side town definit spot hit,1
756,wait minut get drink longer get arepa,0
757,great place eat,1
758,jalapeno bacon soooo good,1
759,servic poor that nice,0
760,food good servic good price good,1
761,place clean food oh stale,0
762,chicken dish ok beef like shoe leather,0
763,servic beyond bad,0
764,happi,1
765,tast like dirt,0
766,one place phoenix would defin go back,1
767,block amaz,1
768,close hous low key non fanci afford price good food,1
769,hot sour egg flower soup absolut star,1
770,sashimi poor qualiti soggi tasteless,0
771,great time famili dinner sunday night,1
772,food tasti say real tradit hunan style,0
773,bother slow servic,0
774,flair bartend absolut amaz,1
775,frozen margarita way sugari tast,0
776,good order twice,1
777,nutshel restaraunt smell like combin dirti fish market sewer,0
778,girlfriend veal bad,0
779,unfortun good,0
780,pretti satifi experi,1
781,join club get awesom offer via email,1
782,perfect someon like beer ice cold case even colder,1
783,bland flavorless good way describ bare tepid meat,0
784,chain fan beat place easili,0
785,nacho must,1
786,come back,0
787,mani word say place everyth pretti well,1
788,staff super nice quick even crazi crowd downtown juri lawyer court staff,1
789,great atmospher friendli fast servic,1
790,receiv pita huge lot meat thumb,1
791,food arriv meh,0
792,pay hot dog fri look like came kid meal wienerschnitzel idea good meal,0
793,classic main lobster roll fantast,1
794,brother law work mall ate day guess sick night,0
795,good go review place twice herea tribut place tribut event held last night,1
796,chip salsa realli good salsa fresh,1
797,place great,1
798,mediocr food,0
799,get insid impress place,1
800,super pissd,0
801,servic super friendli,1
802,sad littl veget overcook,0
803,place nice surpris,1
804,golden crispi delici,1
805,high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat,0
806,could eat bruschetta day devin,1
807,singl employe came see ok even need water refil final serv us food,0
808,lastli mozzarella stick best thing order,1
809,first time ever came amaz experi still tell peopl awesom duck,1
810,server neglig need made us feel unwelcom would suggest place,0
811,servic terribl though,0
812,place overpr consist boba realli overpr,0
813,pack,0
814,love place,1
815,say dessert yummi,1
816,food terribl,0
817,season fruit fresh white peach pure,1
818,kept get wors wors offici done,0
819,place honestli blown,0
820,definit would eat,0
821,wast money,0
822,love put food nice plastic contain oppos cram littl paper takeout box,1
823,cr pe delic thin moist,1
824,aw servic,0
825,ever go,0
826,food qualiti horribl,0
827,price think place would much rather gone,0
828,servic fair best,0
829,love sushi found kabuki price hip servic,0
830,favor stay away dish,0
831,poor servic,0
832,one tabl thought food averag worth wait,0
833,best servic food ever maria server good friendli made day,1
834,excel,1
835,paid bill tip felt server terribl job,0
836,lunch great experi,1
837,never bland food surpris consid articl read focus much spice flavor,0
838,food way overpr portion fuck small,0
839,recent tri caballero back everi week sinc,1
840,buck head realli expect better food,0
841,food came good pace,1
842,ate twice last visit especi enjoy salmon salad,1
843,back,0
844,could believ dirti oyster,0
845,place deserv star,0
846,would recommend place,0
847,fact go round star awesom,1
848,disbelief dish qualifi worst version food ever tast,0
849,bad day low toler rude custom servic peopl job nice polit wash dish otherwis,0
850,potato great biscuit,1
851,probabl would go,0
852,flavor perfect amount heat,1
853,price reason servic great,1
854,wife hate meal coconut shrimp friend realli enjoy meal either,0
855,fella got huevo ranchero look appeal,0
856,went happi hour great list wine,1
857,may say buffet pricey think get pay place get quit lot,1
858,probabl come back,0
859,worst food servic,0
860,place pretti good nice littl vibe restaur,1
861,talk great custom servic cours back,1
862,hot dish hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil,0
863,love fri bean,1
864,alway pleasur deal,1
865,plethora salad sandwich everyth tri get seal approv,1
866,place awesom want someth light healthi summer,1
867,sushi strip place go,1
868,servic great even manag came help tabl,1
869,feel dine room colleg cook cours high class dine servic slow best,0
870,start review two star edit give one,0
871,worst sushi ever eat besid costco,0
872,excel restaur highlight great servic uniqu menu beauti set,1
873,boyfriend sat bar complet delight experi,1
874,weird vibe owner,0
875,hardli meat,0
876,better bagel groceri store,0
877,go place gyro,1
878,love owner chef one authent japanes cool dude,1
879,burger good pizza use amaz doughi flavorless,0
880,found six inch long piec wire salsa,0
881,servic terribl food mediocr,0
882,defin enjoy,1
883,order albondiga soup warm tast like tomato soup frozen meatbal,0
